,spp,sp_code,Ha,Ma,Ka,Oa,Mo,La,Ke,Ni,vulnerability
1,Abutilon menziesii,1,0,0,0,0,0,1,0,0,0.508280854
2,Adenophorus pinnatifidus,2,0,1,1,1,1,1,1,1,0.366046701
3,Arachniodes insularis,3,1,1,0,1,0,1,0,0,0.409886894
4,Asplenium horridum,4,0,0,0,1,0,0,0,0,0.522715936
5,Asplenium unilaterale,5,1,1,1,1,1,1,0,0,0.225344625
6,Bidens hillebrandiana,6,1,1,1,0,1,1,0,0,0.33058914
7,Boerhavia herbstii,7,0,1,1,0,0,0,0,0,0.598688213
8,Canavalia hawaiiensis,8,1,0,1,0,0,0,0,0,0.554605361
9,Cassytha filiformis,9,0,1,0,1,1,1,0,0,0.397585909
10,Chamaesyce skottsbergii,10,0,1,1,1,0,1,0,0,0.320428954
11,Cyclosorus boydiae,11,0,0,1,0,0,0,0,0,0.496632631
12,Clermontia fauriei,12,0,0,1,1,0,0,0,0,0.437144419
13,Cocculus orbiculatus,13,1,1,1,1,1,1,0,0,0.239326899
14,Coprosma ochracea,14,0,0,0,1,0,0,0,0,0.464643163
15,Cyanea asarifolia,15,1,1,1,1,1,1,0,0,0.24838516
16,Cyanea hamatiflora,16,1,1,1,1,1,1,0,0,0.206111255
17,Cyanea longissima,17,1,1,1,1,1,1,0,0,0.196281972
18,Cyanea recta,18,1,1,1,1,1,1,0,0,0.230594512
19,Cyperus fauriei,19,1,1,1,1,1,1,0,0,0.242844915
20,Cyrtandra confertiflora,20,1,1,1,1,1,1,0,1,0.263865956
21,Cyrtandra hawaiensis,21,1,1,1,1,1,1,1,0,0.25104096
22,Cyrtandra munroi,22,1,1,1,1,0,0,0,0,0.231164843
23,Cyrtandra sessilis,23,0,1,1,1,1,0,0,0,0.395214855
24,Delissea subcordata,24,1,1,1,1,1,1,0,0,0.289373536
25,Digitaria setigera,25,1,1,1,1,1,1,1,1,0.230554209
26,Doryopteris decora,26,1,1,1,1,1,1,0,0,0.276880793
27,Dubautia ciliolata,27,1,1,1,1,1,1,0,0,0.288594631
28,Dubautia sherffiana,28,1,1,1,1,1,1,0,0,0.205648474
29,Elaphoglossum wawrae,29,1,1,0,1,1,0,0,0,0.322815096
30,Eugenia koolauensis,30,1,1,1,1,1,0,0,0,0.286202457
31,Gahnia vitiensis,31,1,1,1,1,1,1,1,1,0.290642882
32,Gouania meyenii,32,0,1,0,0,0,0,0,0,0.576107302
33,Kadua coriacea,33,0,1,0,0,0,0,0,0,0.478636455
34,Heliotropium anomalum,34,1,0,0,0,0,0,0,0,0.419361621
35,Hibiscus furcellatus,35,1,1,0,0,0,0,0,0,0.449993314
36,Hypolepis hawaiiensis,36,0,1,0,0,0,0,0,0,0.46109035
37,Kanaloa kahoolawensis,37,1,1,1,1,1,1,1,1,0.317264623
38,Labordia degeneri,38,0,0,1,0,0,0,0,0,0.492572069
39,Labordia waiolani,39,0,1,0,0,0,0,0,0,0.433481188
40,Lobelia gaudichaudii,40,1,1,1,1,1,1,0,0,0.2978328
41,Lycopodium venustulum,41,1,1,1,1,1,1,0,0,0.280827979
42,Machaerina mariscoides,42,1,1,1,1,1,1,0,0,0.179111046
43,Melicope balloui,43,1,1,1,1,1,1,0,0,0.267880883
44,Melicope hosakae,44,1,1,1,1,1,1,0,0,0.344541706
45,Melicope ovata,45,0,1,0,0,0,0,0,0,0.543518498
46,Metrosideros polymorpha,46,1,1,1,0,1,0,0,0,0.411984438
47,Myrsine alyxifolia,47,1,1,1,1,1,1,0,0,0.22508026
48,Myrsine petiolata,48,1,1,1,1,1,1,0,0,0.3030744
49,Nothocestrum latifolium,49,1,1,1,1,1,1,0,0,0.231713798
50,Ophioglossum polyphyllum,50,1,1,1,1,1,1,0,0,0.222037602
51,Panicum torridum,51,1,1,1,1,1,1,0,0,0.224753014
52,Peperomia ligustrina,52,1,1,0,0,0,0,0,0,0.28070604
53,Phyllanthus distichus,53,1,1,1,1,1,1,0,0,0.254271017
54,Phyllostegia knudsenii,54,1,1,1,1,1,1,0,0,0.246398907
55,Pipturus albidus,55,1,1,0,0,0,0,0,0,0.222865187
56,Pittosporum halophilum,56,1,1,1,1,1,1,0,0,0.216265578
57,Plectranthus parviflorus,57,1,1,1,0,0,0,0,0,0.28172774
58,Portulaca lutea,58,1,1,1,1,1,1,0,0,0.362397691
59,Pritchardia hillebrandii,59,1,1,0,0,0,0,0,0,0.256865901
60,Pseudophegopteris keraudreniana,60,1,1,1,1,1,1,0,0,0.204541416
61,Pteridium aquilinum,61,0,0,1,0,0,0,0,0,0.410225149
62,Rhus sandwicensis,62,1,1,1,1,1,1,0,0,0.22469501
63,Sadleria unisora,63,0,0,1,0,0,0,0,0,0.564830918
64,Scaevola kilaueae,64,1,1,1,1,1,1,0,0,0.245814708
65,Schiedea kealiae,65,1,1,1,1,1,1,0,1,0.356483858
66,Schiedea spergulina,66,0,0,0,1,0,0,0,0,0.526143766
67,Sicyos herbstii,67,0,0,0,1,0,0,0,0,0.540127559
68,Sisyrinchium acre,68,1,1,1,1,0,1,0,0,0.284039468
69,Stenogyne calaminthoides,69,0,0,1,1,0,0,0,1,0.485953454
70,Streblus pendulinus,70,0,1,0,0,0,0,0,0,0.473168328
71,Tetraplasandra flynnii,71,0,0,1,0,0,0,0,0,0.482772908
72,Trisetum glomeratum,72,0,0,1,0,0,0,0,0,0.478691843
73,Viola helenae,73,1,0,0,0,0,0,0,0,0.319409292
74,Wikstroemia oahuensis,74,1,1,0,0,1,0,0,0,0.562970107
