,spp,sp_code,CCE_Area
1,Abutilon eremitopetalum,1,150.1317
2,Abutilon incanum,2,1789.398
3,Abutilon menziesii,3,1070.379
4,Abutilon sandwicense,4,131.8086
5,Acacia koa,5,9172.1529
6,Acacia koaia,6,3018.1365
7,Acaena exigua,7,2.4282
8,Achyranthes mutica,8,64.8144
9,Achyranthes splendens,9,1947.9798
10,Adenophorus abietinus,10,609.7392
11,Adenophorus epigaeus,11,91.5408
12,Adenophorus haalilioanus,12,451.7928
13,Adenophorus hymenophylloides,13,3783.2877
14,Adenophorus oahuensis,14,247.482
15,Adenophorus periens,15,1244.7828
16,Adenophorus pinnatifidus,16,4475.7027
17,Adenophorus tamariscinus,17,7031.9826
18,Adenophorus tripinnatifidus,18,3851.1432
19,Adenostemma viscosum,19,4093.6518
20,Adiantum capillus-veneris,20,2791.7766
21,Agrostis avenacea,21,12587.391
22,Agrostis sandwicensis,22,7910.3943
23,Alectryon macrococcus,23,620.4825
24,Alphitonia ponderosa,24,3303.378
25,Alyxia oliviformis,25,12067.1442
26,Thelypteris globulifera,26,5640.4557
27,Anoectochilus sandvicensis,27,2933.9856
28,Antidesma platyphyllum,28,7386.264
29,Antidesma pulvinatum,29,3372.6465
30,Arachniodes insularis,30,2437.6176
31,Argemone glauca,31,9206.6247
32,Argyroxiphium caliginis,32,5.7573
33,Argyroxiphium grayanum,33,87.2757
34,Argyroxiphium kauense,34,558.2493
35,Argyroxiphium sandwicense,35,483.9021
36,Argyroxiphium virescens,36,107.19
37,Artemisia australis,37,4792.9707
38,Artemisia kauaiensis,38,234.4878
39,Artemisia mauiensis,39,353.0124
40,Asplenium acuminatum,40,2282.7285
41,Asplenium adiantum-nigrum,41,9510.9048
42,Asplenium aethiopicum,42,5673.2049
43,Asplenium contiguum,43,5900.7528
44,Asplenium excisum,44,1060.5528
45,Asplenium haleakalense,45,9.0225
46,Asplenium hobdyi,46,232.1802
47,Asplenium horridum,47,4160.0196
48,Asplenium insiticium,48,803.8386
49,Asplenium kaulfussii,49,3819.4875
50,Asplenium lobulatum,50,6573.5505
51,Asplenium macraei,51,3827.4183
52,Asplenium monanthes,52,1688.6277
53,Asplenium nidus,53,5934.9654
54,Asplenium normale,54,2947.3083
55,Asplenium peruvianum,55,3331.6677
56,Asplenium polyodon,56,5152.1823
57,Asplenium schizophyllum,57,1591.893
58,Asplenium sphenotomum,58,943.6068
59,Asplenium trichomanes,59,5346.3807
60,Asplenium unilaterale,60,6798.5424
61,Astelia argyrocoma,61,591.5376
62,Astelia menziesiana,62,6893.9973
63,Astelia waialealae,63,49.5225
64,Athyrium microphyllum,64,4971.0744
65,Bacopa monnieri,65,2595.7647
