"","spp","sp_code","Division","Family","Genus","Consv_stat","Native_stat","Coastal","Ha_pres","Ma_pres","Ka_pres","Oa_pres","Mo_pres","La_pres","Ke_pres","Ni_pres","Cover_D","Cover_1","Cover_2","Cover_3","CCE_Area","Vulnerability","Tolerate","Migrate","Micro_refugia","Eff_Mrf_A","Eff_Tol_A","Eff_Mig_A","Habqual_Mrg","Habqual_Tol","Habqual_Mig","Dispersion","Quality_avg","Area_avg","nonNat_comp","Pioneer","Winkout","Overlap_sp","Dist_Ces","p_tol_pts","n_fce_bioreg","Overlap_Ces","change_CE_A","Prox_to_top","Tot_A_MR","Tot_A_TL","Tot_A_MG","new_lava_MR","new_lava_TL","new_lava_MG","Hi_mod_A_MR","Hi_mod_A_TL","Hi_mod_A_MG","SLR_A_lost in_MR","Natvcov_MR","Natvcov_TL","Natvcov_MG","prot_A_MR","prot_A_TL","prot_A_MG","Ung_A_MR","Ung_A_TL","Ung_A_MG","Inv_MR","Inv_TL","Inv_MG","Frag_MR","Frag_TL","Frag_MG","ppt_grad_MR","Slope_MR","Asp_var_MR","SlopeVar_MR"
"1","Abutilon eremitopetalum",1,"Dicot","Malvaceae","Abutilon","Endangered","Endemic","Non_coastal",0,0,0,0,0,1,0,0,"na","Decidious_shrubland","Perennial_grassland","Dry_forest",150.1317,0.518131687084918,"Small","Small","Small","Small","Small","Small","Small","Small","Very_small","Small","Small","Small","Yes","No","No","Yes","Large","none","Few","Small","Large_decrease","Far","Small","Small","Small","Small","Small","Small","Large","Small","Medium","Small","Small","Small","Small","Large","Large","Large","Small","Small","Small","Medium","Large","Large","Large","Large","Large","Low","Low","Medium","Medium"
"2","Abutilon incanum",2,"Dicot","Malvaceae","Abutilon","Apparently Secure","Indigenous","Coastal",0,1,1,1,1,1,1,1,"na","Decidious_shrubland","Dry_forest","Perennial_grassland",1789.398,0.393990856025463,"Small","Medium","Medium","Very_large","Medium","Very_large","Small","Very_small","Very_small","Small","Very_small","Very_large","Yes","No","No","Yes","Large","none","Many","Small","Large_decrease","Close","Very_large","Medium","Large","Medium","Medium","Medium","Large","Large","Large","Large","Small","Small","Small","Small","Small","Small","Medium","Medium","Medium","Large","Large","Large","Large","Large","Large","Low","Low","Small","Large"
"3","Abutilon menziesii",3,"Dicot","Malvaceae","Abutilon","Endangered","Endemic","Non_coastal",1,1,0,1,0,1,0,0,"na","Perennial_grassland","Decidious_shrubland","Dry_forest",1070.379,0.430069007247515,"Small","Medium","Medium","Large","Medium","Large","Very_small","Very_small","Small","Large","Very_small","Large","Yes","No","No","Yes","Medium","Small","Many","Medium","Large_decrease","Far","Large","Medium","Large","Large","Large","Medium","Large","Large","Large","Small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Medium","Medium","Large","Large","Large","Low","Low","Medium","Large"
"4","Abutilon sandwicense",4,"Dicot","Malvaceae","Abutilon","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Wet_mesic_forest","Evergreen_shrubland","Perennial_grassland",131.8086,0.536845312134178,"Small","Small","Small","Small","Small","Small","Very_small","Very_small","Small","Small","Small","Small","No","No","No","Yes","Medium","Small","Few","Small","Large_decrease","Far","Small","Small","Small","Small","Small","Small","Medium","Small","Small","Small","Small","Small","Medium","Small","Large","Medium","Small","Large","Large","Large","Large","Large","Large","Large","Large","Low","Medium","Large","Small"
"5","Acacia koa",5,"Dicot","Fabaceae","Acacia","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Perennial_grassland","Wet_mesic_forest",9172.1529,0.238508721139565,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Very_small","Large","Large","Very_large","Medium","Very_large","Yes","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Medium","Large","Large","Small","Medium","Medium","Medium","Medium","Medium"
"6","Acacia koaia",6,"Dicot","Fabaceae","Acacia","Vulnerable","Endemic","Non_coastal",1,1,1,0,1,1,0,0,"na","Perennial_grassland","Decidious_shrubland","Wet_mesic_forest",3018.1365,0.37042484410019,"Medium","Large","Medium","Very_large","Large","Very_large","Very_small","Very_small","Small","Medium","Small","Very_large","Yes","No","No","Yes","Small","Medium","Many","Medium","Medium_decrease","Close","Very_large","Large","Very_large","Medium","Medium","Large","Large","Large","Medium","Small","Small","Small","Small","Small","Small","Small","Small","Small","Small","Large","Medium","Large","Large","Large","Medium","Low","Medium","Medium","Large"
"7","Acaena exigua",7,"Dicot","Rosaceae","Acaena","Endangered","Endemic","Non_coastal",0,1,1,0,0,0,0,0,"Wet_forest","Wet_forest","Perennial_grassland","Mesic_shrubland",2.4282,0.593427869938921,"Very_small","Very_small","Small","Very_small","Very_small","Very_small","Medium","Very_small","Very_small","Very_small","Very_small","Very_small","No","No","Yes","No","none","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","none","none","Small","none","none","Small","Large","none","none","Small","none","none","Large","none","none","Large","Small","Small","Small","none","none","High","High","Medium","Small"
"8","Achyranthes mutica",8,"Dicot","Amaranthaceae","Achyranthes","Endangered","Endemic","Non_coastal",1,0,1,0,0,0,0,0,"na","Perennial_grassland","Wet_mesic_forest","Mesic_forest",64.8144,0.538971317085787,"Very_small","Small","Small","Small","Very_small","Medium","Small","Small","Small","Very_small","Small","Small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Medium","Medium","Small","Large","Medium","Small","Small","Small","Small","Small","Medium","Large","Small","Small","Small","Small","Medium","Large","Small","Medium","Large","Large","Medium","Low","Medium","Medium","Medium"
"9","Achyranthes splendens",9,"Dicot","Amaranthaceae","Achyranthes","Rare","Endemic","Non_coastal",0,1,0,1,1,1,0,0,"na","Perennial_grassland","Decidious_shrubland","Dry_forest",1947.9798,0.414509843995317,"Medium","Medium","Medium","Large","Large","Large","Very_small","Very_small","Small","Large","Very_small","Large","Yes","No","No","Yes","Medium","Medium","Many","Medium","Large_decrease","Far","Very_large","Large","Large","Medium","Medium","Medium","Large","Large","Large","Large","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Large","Large","Large","Large","Large","Large","Low","Low","Medium","Large"
"10","Adenophorus abietinus",10,"Pteridophyte","Grammitidaceae","Adenophorus","Apparently Secure","Endemic","Non_coastal",0,1,1,1,0,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",609.7392,0.357976562336107,"Medium","Large","Medium","Medium","Medium","Medium","Large","Large","Large","Medium","Large","Medium","No","No","No","Yes","Medium","Small","Many","Medium","Medium_decrease","Close","Medium","Medium","Medium","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Medium","Large","Large","Medium","Large","Large","Small","Medium","Medium","Medium","Small","Small","High","High","Large","Small"
